policy,overdue_count,median_resolution_delay_minutes,p95_resolution_delay_minutes,value_weighted_overdue_minutes,unfinished_count,unfinished_value_atomic,touches,control_failures,workload_fingerprint,run_id,fixture_sha256,oracle_sha256,policy_workload_hash,data_classification,claim_boundary
fifo,6,66.05000000074506,107.05000000074506,4428900000.11772,0,0,9,0,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
deadline_first,6,55.05000000074506,107.05000000074506,1582200000.1072884,0,0,9,0,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
value_first,4,47.05000000074506,137.05000000074506,1371900000.0581145,0,0,9,0,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
hybrid,4,77.05000000074506,127.05000000074506,982100000.0610948,0,0,9,0,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,run-a6cf865a0efd58de,c9ca5821686c1490324493d54f778efd50c38a10eb454e47eac677757a795539,33a4d0526243e0dc7f89f91f3e06aa5bd109a741510b857a20feae7f185e465a,6d61d20762da8a315b2e9762d0d71d844b9dca5aa796f8f430c16b1fd23c956a,synthetic,Chain evidence does not prove delivery.
